id,name,followers,er,country,topic_of_influence,potential_reach,channel_id,subscribers,total_views,total_videos,duplicate_channel_id,channel_name
14,BibisBeautyPalace @UCHfdTAyg5t4mb1G-3rJ6QsQ,5.9M,0.30%,Germany,,1.8M,UCHfdTAyg5t4mb1G-3rJ6QsQ,5790000,2893957880,946,UCHfdTAyg5t4mb1G-3rJ6QsQ,BibisBeautyPalace 
15,TikTokTunes @UC9EgazNjxm-_3eydGQR45rQ,5.7M,-,Germany,,1.7M,UC9EgazNjxm-_3eydGQR45rQ,6890000,4577459585,1164,UC9EgazNjxm-_3eydGQR45rQ,TikTokTunes 
16,briQle @UCrT0Q_oAAv5xbHB8LrUwz_g,5.5M,-,Germany,,1.6M,UCrT0Q_oAAv5xbHB8LrUwz_g,5700000,1416322694,120,UCrT0Q_oAAv5xbHB8LrUwz_g,briQle 
17,Ali Omar @UCJhAZAK6t92znGV9tMuy7eQ,5.2M,-,Germany,,1.6M,UCJhAZAK6t92znGV9tMuy7eQ,5990000,692628396,858,UCJhAZAK6t92znGV9tMuy7eQ,Ali Omar 
18,Unique Vibes @UCn7Z0uhzGS1KjnO-sWml_dw,5.2M,-,Germany,,1.6M,UCn7Z0uhzGS1KjnO-sWml_dw,5870000,3547970829,1214,UCn7Z0uhzGS1KjnO-sWml_dw,Unique Vibes 
19,laserluca @UCmxc6kXbU1J-0pR2F3wIx9A,4.8M,1.80%,Germany,,1.4M,UCmxc6kXbU1J-0pR2F3wIx9A,5210000,3420550310,3768,UCmxc6kXbU1J-0pR2F3wIx9A,laserluca 
20,DW Documental @UCQ1GpKa15ulyoQuxz7H4rng,4.6M,-,Germany,,1.4M,UCQ1GpKa15ulyoQuxz7H4rng,5490000,1248833942,640,UCQ1GpKa15ulyoQuxz7H4rng,DW Documental 
21,DW Documentary @UCW39zufHfsuGgpLviKh297Q,4.5M,-,Germany,Travel,1.4M,UCW39zufHfsuGgpLviKh297Q,5720000,828061758,1162,UCW39zufHfsuGgpLviKh297Q,DW Documentary 
22,clips mix @UCogFmwd_6QgQ4qZtU2gDDVQ,4.5M,-,Germany,,1.3M,UCogFmwd_6QgQ4qZtU2gDDVQ,4400000,2907041837,5646,UCogFmwd_6QgQ4qZtU2gDDVQ,clips mix 
23,DW News @UCknLrEdhRCp1aegoMqRaCZg,4.4M,-,Germany,,1.3M,UCknLrEdhRCp1aegoMqRaCZg,5390000,2455454689,35805,UCknLrEdhRCp1aegoMqRaCZg,DW News 
24,Majestic Casual @UCXIyz409s7bNWVcM-vjfdVA,4.3M,-,Germany,,1.3M,UCXIyz409s7bNWVcM-vjfdVA,4270000,2223011115,2436,UCXIyz409s7bNWVcM-vjfdVA,Majestic Casual 
25,ArkivaShqip @UCUd0P7GJ_6UiLcIpfKH9sCQ,4.1M,-,Germany,,1.2M,UCUd0P7GJ_6UiLcIpfKH9sCQ,4540000,7502221363,8822,UCUd0P7GJ_6UiLcIpfKH9sCQ,ArkivaShqip 
26,Calisthenicmovement @UCZIIRX8rkNjVpP-oLMHpeDw,4.1M,-,Germany,,1.2M,UCZIIRX8rkNjVpP-oLMHpeDw,4250000,535060562,360,UCZIIRX8rkNjVpP-oLMHpeDw,Calisthenicmovement 
27,Dagi Bee @UCpZ_DI-ZugwMzXcqccaTVsg,4M,-,Germany,,1.2M,UCpZ_DI-ZugwMzXcqccaTVsg,3910000,1071401556,659,UCpZ_DI-ZugwMzXcqccaTVsg,Dagi Bee 
28,Free Documentary @UCijcd0GR0fkxCAZwkiuWqtQ,4M,-,Germany,,1.2M,UCijcd0GR0fkxCAZwkiuWqtQ,5090000,1137162662,792,UCijcd0GR0fkxCAZwkiuWqtQ,Free Documentary 
29,ungespielt @UCcn4UOBvB0W2HjCcLFLuu2w,3.8M,0.10%,Germany,,1.1M,UCcn4UOBvB0W2HjCcLFLuu2w,3650000,2125942277,4899,UCcn4UOBvB0W2HjCcLFLuu2w,ungespielt 
30,Lous Reaction @UCmloGqUEraKu2IGQ2SXZ4Rg,3.8M,41%,Germany,,1.1M,UCmloGqUEraKu2IGQ2SXZ4Rg,3550000,572,3,UCmloGqUEraKu2IGQ2SXZ4Rg,Lous Reaction 
31,DW हिन्दी @UCc7pPNFBvIhI4iV7m8plJuA,3.7M,-,Germany,,1.1M,UCc7pPNFBvIhI4iV7m8plJuA,4160000,1065692373,6718,UCc7pPNFBvIhI4iV7m8plJuA,DW हिन्दी 
32,Freshtorge @UCr3LVdbgOcW4NZEpo0VHnxw,3.7M,0.60%,Germany,,1.1M,UCr3LVdbgOcW4NZEpo0VHnxw,3760000,1691805668,967,UCr3LVdbgOcW4NZEpo0VHnxw,Freshtorge 
33,Ikram Bellanova @UCkLVM-72DqCDi5psyXmeMag,3.7M,-,Germany,Beauty,1.1M,UCkLVM-72DqCDi5psyXmeMag,3650000,483991177,406,UCkLVM-72DqCDi5psyXmeMag,Ikram Bellanova 
34,Robin Schulz @UCLVVBWrp9jw4-SYUoU42hcg,3.6M,-,Germany,Music,1.1M,UCLVVBWrp9jw4-SYUoU42hcg,3720000,4144797720,502,UCLVVBWrp9jw4-SYUoU42hcg,Robin Schulz 
35,Bundesliga @UC6UL29enLNe4mqwTfAyeNuw,3.6M,-,Germany,,1.1M,UC6UL29enLNe4mqwTfAyeNuw,4950000,2553570900,9820,UC6UL29enLNe4mqwTfAyeNuw,Bundesliga 
36,SkyBek craft channel @UCCohOo_tNjrR5JxgLjOb25A,3.6M,-,Germany,,1.1M,UCCohOo_tNjrR5JxgLjOb25A,3520000,596050714,73,UCCohOo_tNjrR5JxgLjOb25A,SkyBek craft channel 
37,Essen Rezepte @UCNh35NtktYxumhyASfnF1dg,3.5M,-,Germany,Food and Drink,1.1M,UCNh35NtktYxumhyASfnF1dg,5060000,1120003948,561,UCNh35NtktYxumhyASfnF1dg,Essen Rezepte 
